Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
DHX33	0	0	1	0	0	0	0	1	1	1
DISP1	0	0	1	0	0	0	0	1	1	1
DLEU2L	0	1	0	0	0	0	0	1	1	1
DMD	0	0	1	0	0	0	0	1	1	1
DNAH1	0	0	1	0	0	0	0	1	1	1
DNAI1	0	0	1	0	0	0	0	1	1	1
DNAJC19	0	0	1	0	0	0	0	1	1	1
DNAJC6	0	1	0	0	0	0	0	1	1	1
DNTTIP2	0	0	1	0	0	0	0	1	1	1
DOPEY1	0	0	1	0	0	0	0	1	1	1
DPAGT1	0	0	1	0	0	0	0	1	1	1
DSCR3	1	0	0	0	0	0	0	1	1	1
DST	0	0	1	0	0	0	0	1	1	1
DTNA	0	0	1	0	0	0	0	1	1	1
DTX4	1	0	0	0	0	0	0	1	1	1
DUOX1	0	0	1	0	0	0	0	1	1	1
DYRK4	1	0	0	0	0	0	0	1	1	1
ECM2	0	0	1	0	0	0	0	1	1	1
ECSIT	0	0	1	0	0	0	0	1	1	1
EFNA4	0	0	1	0	0	0	0	1	1	1
EIF1AX	0	0	1	0	0	0	0	1	1	1
ELP2	0	0	0	0	0	1	0	1	1	1
EMC2	0	0	1	0	0	0	0	1	1	1
ENTHD1	0	0	1	0	0	0	0	1	1	1
EPHB1	0	0	1	0	0	0	0	1	1	1
ERBB2	0	0	1	0	0	0	0	1	1	1
ERCC6L	0	0	1	0	0	0	0	1	1	1
ERICH1	0	0	1	0	0	0	0	1	1	1
FAM129A	0	0	1	0	0	0	0	1	1	1
FAM13A	0	0	1	0	0	0	0	1	1	1
FAM185A	0	0	1	0	0	0	0	1	1	1
FAM208B	0	0	1	0	0	0	0	1	1	1
FAM21C	0	0	1	0	0	0	0	1	1	1
FAM230A	0	0	1	0	0	0	0	1	1	1
FAM60A	1	0	0	0	0	0	0	1	1	1
FAM9A	0	1	0	0	0	0	0	1	1	1
FBXL3	1	0	0	0	0	0	0	1	1	1
FCGR3A	0	0	1	0	0	0	0	1	1	1
FCRL3	0	0	1	0	0	0	0	1	1	1
FCRL5	0	0	1	0	0	0	0	1	1	1
FERMT2	0	0	1	0	0	0	0	1	1	1
FGD6	0	0	1	0	0	0	0	1	1	1
FHOD3	1	0	0	0	0	0	0	1	1	1
FIGN	0	0	1	0	0	0	0	1	1	1
FKBP9	0	0	1	0	0	0	0	1	1	1
FLG	0	0	1	0	0	0	0	1	1	1
FLG2	0	0	1	0	0	0	0	1	1	1
FMNL1	0	0	1	0	0	0	0	1	1	1
FOXO3	0	1	0	0	0	0	0	1	1	1
FRS2	0	0	1	0	0	0	0	1	1	1
FRZB	0	0	1	0	0	0	0	1	1	1
FXR1	1	0	0	0	0	0	0	1	1	1
FZD3	0	0	1	0	0	0	0	1	1	1
G2E3	0	1	0	0	0	0	0	1	1	1
G3BP2	1	0	0	0	0	0	0	1	1	1
GALNT5	0	0	1	0	0	0	0	1	1	1
GAREM	0	0	0	1	0	0	0	1	1	1
GBP3	0	1	0	0	0	0	0	1	1	1
GFM2	1	0	0	0	0	0	0	1	1	1
GGT1	0	0	1	0	0	0	0	1	1	1
GH1	0	0	1	0	0	0	0	1	1	1
GLYCTK	0	0	1	0	0	0	0	1	1	1
GOLGA6L2	1	0	0	0	0	0	0	1	1	1
GPR149	0	0	1	0	0	0	0	1	1	1
GPR32	0	0	1	0	0	0	0	1	1	1
GPRC6A	0	0	1	0	0	0	0	1	1	1
GRIA3	0	0	0	1	0	0	0	1	1	1
GRIK1	0	0	1	0	0	0	0	1	1	1
GRIP1	0	0	1	0	0	0	0	1	1	1
GSDMC	0	0	1	0	0	0	0	1	1	1
GSTM5	0	0	1	0	0	0	0	1	1	1
GTF3C3	0	1	0	0	0	0	0	1	1	1
GTSF1L	0	0	1	0	0	0	0	1	1	1
HAUS8	0	0	1	0	0	0	0	1	1	1
HCAR3	0	0	1	0	0	0	0	1	1	1
HCLS1	0	0	0	1	0	0	0	1	1	1
HLA-DRB5	0	0	0	0	0	1	0	1	1	1
HMMR	0	1	0	0	0	0	0	1	1	1
HORMAD1	0	0	1	0	0	0	0	1	1	1
HSP90B1	0	0	1	0	0	0	0	1	1	1
HSPA4L	0	0	1	0	0	0	0	1	1	1
ICA1	0	1	0	0	0	0	0	1	1	1
IFITM3	0	0	1	0	0	0	0	1	1	1
IFNA17	0	0	1	0	0	0	0	1	1	1
IFNA2	0	0	1	0	0	0	0	1	1	1
IFRD2	1	0	0	0	0	0	0	1	1	1
IFT140	0	0	1	0	0	0	0	1	1	1
IGHG1	0	0	1	0	0	0	0	1	1	1
IGKV3D-20	0	0	1	0	0	0	0	1	1	1
IKZF3	0	0	1	0	0	0	0	1	1	1
IKZF4	0	0	1	0	0	0	0	1	1	1
IL1RL1	0	0	1	0	0	0	0	1	1	1
IMPG2	1	0	0	0	0	0	0	1	1	1
IRS4	0	1	0	0	0	0	0	1	1	1
ISY1-RAB43	0	0	1	0	0	0	0	1	1	1
ITGA8	0	0	1	0	0	0	0	1	1	1
ITGAL	0	0	1	0	0	0	0	1	1	1
ITIH6	0	0	1	0	0	0	0	1	1	1
ITSN1	0	0	1	0	0	0	0	1	1	1
KANSL1L	1	0	0	0	0	0	0	1	1	1
KIAA0391	1	0	0	0	0	0	0	1	1	1
KIAA1024	0	0	1	0	0	0	0	1	1	1
KIAA1109	0	0	1	0	0	0	0	1	1	1
KIAA1199	1	0	0	0	0	0	0	1	1	1
KIAA1456	0	0	0	0	0	1	0	1	1	1
KIAA1919	1	0	0	0	0	0	0	1	1	1
KIF14	0	0	1	0	0	0	0	1	1	1
KIF16B	0	0	1	0	0	0	0	1	1	1
KIF21A	0	1	0	0	0	0	0	1	1	1
KIF4B	0	0	1	0	0	0	0	1	1	1
KIR3DL1	0	0	1	0	0	0	0	1	1	1
KMT2A	0	0	1	0	0	0	0	1	1	1
KRT34	0	0	1	0	0	0	0	1	1	1
KRTAP2-3	0	0	1	0	0	0	0	1	1	1
KRTAP4-11	0	0	1	0	0	0	0	1	1	1
KRTAP4-9	0	0	1	0	0	0	0	1	1	1
LARP7	0	1	0	0	0	0	0	1	1	1
LAT2	0	0	1	0	0	0	0	1	1	1
LCK	0	0	1	0	0	0	0	1	1	1
LCT	0	0	1	0	0	0	0	1	1	1
LEKR1	0	0	1	0	0	0	0	1	1	1
LHX4	0	0	1	0	0	0	0	1	1	1
LILRA4	0	0	1	0	0	0	0	1	1	1
LIN9	0	0	1	0	0	0	0	1	1	1
LRP1B	0	0	1	0	0	0	0	1	1	1
LRP4	0	0	1	0	0	0	0	1	1	1
LRP6	0	0	1	0	0	0	0	1	1	1
LRRC55	0	0	1	0	0	0	0	1	1	1
LTBR	0	0	0	0	0	1	0	1	1	1
LTF	0	0	0	1	0	0	0	1	1	1
MACF1	0	0	1	0	0	0	0	1	1	1
MALRD1	0	0	1	0	0	0	0	1	1	1
MAP4K4	0	0	1	0	0	0	0	1	1	1
MBD2	1	0	0	0	0	0	0	1	1	1
MBD6	0	1	0	0	0	0	0	1	1	1
MCAT	0	0	1	0	0	0	0	1	1	1
MED1	0	0	1	0	0	0	0	1	1	1
MED18	1	0	0	0	0	0	0	1	1	1
MEGF10	0	0	1	0	0	0	0	1	1	1
MFF	0	0	1	0	0	0	0	1	1	1
MFN1	0	0	1	0	0	0	0	1	1	1
MIS18BP1	1	0	0	0	0	0	0	1	1	1
MLH3	1	0	0	0	0	0	0	1	1	1
MSANTD4	0	0	1	0	0	0	0	1	1	1
MSH2	0	0	1	0	0	0	0	1	1	1
MST1R	0	0	1	0	0	0	0	1	1	1
MSTO1	0	0	1	0	0	0	0	1	1	1
MT1M	0	0	1	0	0	0	0	1	1	1
MYBPC1	0	0	1	0	0	0	0	1	1	1
MYCBP2	1	0	0	0	0	0	0	1	1	1
MYF5	0	0	1	0	0	0	0	1	1	1
MYL1	1	0	0	0	0	0	0	1	1	1
MYLK	0	0	1	0	0	0	0	1	1	1
MYO3B	0	0	1	0	0	0	0	1	1	1
MYO5C	0	0	0	1	0	0	0	1	1	1
MYO6	0	1	0	0	0	0	0	1	1	1
MYO9A	0	0	1	0	0	0	0	1	1	1
MYOM1	0	0	1	0	0	0	0	1	1	1
MYRIP	0	0	1	0	0	0	0	1	1	1
MZF1	0	0	1	0	0	0	0	1	1	1
NBEA	1	0	0	0	0	0	0	1	1	1
NBPF10	0	0	1	0	0	0	0	1	1	1
NDNF	0	0	1	0	0	0	0	1	1	1
NDUFV2	0	0	1	0	0	0	0	1	1	1
NHS	0	0	1	0	0	0	0	1	1	1
NID2	0	0	1	0	0	0	0	1	1	1
NLRC4	0	0	1	0	0	0	0	1	1	1
NOTCH2NL	0	0	1	0	0	0	0	1	1	1
NPY5R	0	0	1	0	0	0	0	1	1	1
NR4A1	0	0	1	0	0	0	0	1	1	1
NRP1	0	0	1	0	0	0	0	1	1	1
NUAK2	0	0	1	0	0	0	0	1	1	1
NUP98	0	0	1	0	0	0	0	1	1	1
NXF5	0	0	1	0	0	0	0	1	1	1
NYNRIN	0	0	1	0	0	0	0	1	1	1
OBP2B	0	0	1	0	0	0	0	1	1	1
OR10X1	0	0	1	0	0	0	0	1	1	1
OR2M5	0	0	1	0	0	0	0	1	1	1
OR2T35	0	0	1	0	0	0	0	1	1	1
OR2T4	0	0	1	0	0	0	0	1	1	1
OR4C3	0	0	1	0	0	0	0	1	1	1
OR52K2	0	0	1	0	0	0	0	1	1	1
OR5AR1	0	0	1	0	0	0	0	1	1	1
OR5D18	0	0	1	0	0	0	0	1	1	1
OR5H14	0	0	1	0	0	0	0	1	1	1
OR5M10	0	0	1	0	0	0	0	1	1	1
OR7E24	0	1	0	0	0	0	0	1	1	1
OR9K2	0	0	1	0	0	0	0	1	1	1
PABPC4	0	0	1	0	0	0	0	1	1	1
PAPSS2	0	0	1	0	0	0	0	1	1	1
PARP16	0	0	1	0	0	0	0	1	1	1
PCDHB4	0	1	0	0	0	0	0	1	1	1
PCDHB8	0	0	1	0	0	0	0	1	1	1
PCOLCE	0	0	1	0	0	0	0	1	1	1
PDE1C	0	0	1	0	0	0	0	1	1	1
PDE6A	0	0	0	0	0	1	0	1	1	1
PER2	0	0	1	0	0	0	0	1	1	1
PHACTR4	0	1	0	0	0	0	0	1	1	1
PKD1	0	0	1	0	0	0	0	1	1	1
PKHD1	0	1	0	0	0	0	0	1	1	1
PKP2	0	0	1	0	0	0	0	1	1	1
PLA2G2F	0	0	1	0	0	0	0	1	1	1
PLAG1	0	0	1	0	0	0	0	1	1	1
PLEKHA3	0	0	1	0	0	0	0	1	1	1
PLXNA3	0	0	1	0	0	0	0	1	1	1
PNMAL1	0	0	1	0	0	0	0	1	1	1
PNN	0	0	1	0	0	0	0	1	1	1
POLD3	0	1	0	0	0	0	0	1	1	1
POTED	0	0	1	0	0	0	0	1	1	1
PP2D1	0	0	0	1	0	0	0	1	1	1
PPFIA2	0	0	0	0	0	1	0	1	1	1
PPP2R5A	0	1	0	0	0	0	0	1	1	1
PPP5C	0	0	1	0	0	0	0	1	1	1
PRAMEF20	0	0	1	0	0	0	0	1	1	1
PRDM9	0	0	1	0	0	0	0	1	1	1
PREX2	0	0	1	0	0	0	0	1	1	1
PRKCE	0	0	1	0	0	0	0	1	1	1
PRKDC	0	1	0	0	0	0	0	1	1	1
PRMT1	0	0	1	0	0	0	0	1	1	1
PROM1	1	0	0	0	0	0	0	1	1	1
PRRC2C	1	0	0	0	0	0	0	1	1	1
PRRG1	1	0	0	0	0	0	0	1	1	1
PRRT2	1	0	0	0	0	0	0	1	1	1
PSAPL1	1	0	0	0	0	0	0	1	1	1
PTPLAD2	0	1	0	0	0	0	0	1	1	1
PTPN3	0	0	1	0	0	0	0	1	1	1
PTPRE	0	0	1	0	0	0	0	1	1	1
PTPRM	0	0	1	0	0	0	0	1	1	1
PTPRZ1	0	0	1	0	0	0	0	1	1	1
PYROXD1	0	0	1	0	0	0	0	1	1	1
PZP	0	0	1	0	0	0	0	1	1	1
QSOX1	0	0	1	0	0	0	0	1	1	1
RAD50	1	0	0	0	0	0	0	1	1	1
RAG1	0	0	1	0	0	0	0	1	1	1
RASSF3	0	0	1	0	0	0	0	1	1	1
RBM27	0	0	1	0	0	0	0	1	1	1
RBM45	1	0	0	0	0	0	0	1	1	1
RFC4	0	0	1	0	0	0	0	1	1	1
RGS12	0	1	0	0	0	0	0	1	1	1
RGS6	1	0	0	0	0	0	0	1	1	1
RIN2	0	0	1	0	0	0	0	1	1	1
RMDN3	0	1	0	0	0	0	0	1	1	1
RNASE6	1	0	0	0	0	0	0	1	1	1
RNF145	0	0	1	0	0	0	0	1	1	1
RP11-455G16.1	0	1	0	0	0	0	0	1	1	1
RP11-830F9.6	0	1	0	0	0	0	0	1	1	1
RPS29	0	0	0	0	0	0	1	1	1	1
RRH	1	0	0	0	0	0	0	1	1	1
RSPH10B2	0	0	1	0	0	0	0	1	1	1
RSPH4A	0	0	1	0	0	0	0	1	1	1
RUFY2	1	0	0	0	0	0	0	1	1	1
RUNX1T1	0	0	0	0	0	0	1	1	1	1
SALL1	0	0	1	0	0	0	0	1	1	1
SCAF4	0	0	0	1	0	0	0	1	1	1
SCN1A	0	0	1	0	0	0	0	1	1	1
SEC14L5	0	0	1	0	0	0	0	1	1	1
SEMG2	0	0	1	0	0	0	0	1	1	1
SEPT11	0	0	1	0	0	0	0	1	1	1
SETD1B	0	0	1	0	0	0	0	1	1	1
SGOL1	1	0	0	0	0	0	0	1	1	1
SH3RF2	0	0	1	0	0	0	0	1	1	1
SLC15A4	0	0	1	0	0	0	0	1	1	1
SLC22A15	0	0	1	0	0	0	0	1	1	1
SLC22A9	0	1	0	0	0	0	0	1	1	1
SLC25A40	0	0	1	0	0	0	0	1	1	1
SLC25A41	1	0	0	0	0	0	0	1	1	1
SLC4A3	0	1	0	0	0	0	0	1	1	1
SLFN5	0	0	1	0	0	0	0	1	1	1
SMARCC2	0	0	1	0	0	0	0	1	1	1
SMEK1	0	0	1	0	0	0	0	1	1	1
SNAPC4	0	0	1	0	0	0	0	1	1	1
SOCS5	0	0	1	0	0	0	0	1	1	1
SOX6	0	0	1	0	0	0	0	1	1	1
SPANXN2	0	0	1	0	0	0	0	1	1	1
SPANXN5	0	0	1	0	0	0	0	1	1	1
SPRED1	0	0	1	0	0	0	0	1	1	1
SRCAP	0	1	0	0	0	0	0	1	1	1
SREK1IP1	0	1	0	0	0	0	0	1	1	1
SSH2	0	0	0	1	0	0	0	1	1	1
SYCP1	0	1	0	0	0	0	0	1	1	1
SYCP3	1	0	0	0	0	0	0	1	1	1
SYNC	0	0	1	0	0	0	0	1	1	1
SYNE2	0	0	0	0	0	1	0	1	1	1
SYNGAP1	0	0	1	0	0	0	0	1	1	1
SYT15	0	0	1	0	0	0	0	1	1	1
SYT4	0	0	1	0	0	0	0	1	1	1
SYTL1	0	0	0	1	0	0	0	1	1	1
TAAR8	0	0	1	0	0	0	0	1	1	1
TAGAP	0	0	1	0	0	0	0	1	1	1
TAS2R50	0	1	0	0	0	0	0	1	1	1
TBC1D23	0	1	0	0	0	0	0	1	1	1
TBC1D26	0	0	1	0	0	0	0	1	1	1
TCF7L2	0	1	0	0	0	0	0	1	1	1
TEP1	0	0	0	1	0	0	0	1	1	1
TEX15	0	0	1	0	0	0	0	1	1	1
TFAM	1	0	0	0	0	0	0	1	1	1
TFDP3	0	0	1	0	0	0	0	1	1	1
TGFB3	0	0	1	0	0	0	0	1	1	1
TGFBR2	1	0	0	0	0	0	0	1	1	1
THYN1	0	0	1	0	0	0	0	1	1	1
TIE1	0	0	1	0	0	0	0	1	1	1
TIMM17A	0	0	1	0	0	0	0	1	1	1
TLN1	0	0	1	0	0	0	0	1	1	1
TM9SF1	0	0	1	0	0	0	0	1	1	1
TMA16	0	1	0	0	0	0	0	1	1	1
TMED6	0	0	1	0	0	0	0	1	1	1
TMEM209	0	0	1	0	0	0	0	1	1	1
TMEM231	0	0	0	0	1	0	0	1	1	1
TMEM74	0	0	1	0	0	0	0	1	1	1
TNFAIP8L3	0	0	0	1	0	0	0	1	1	1
TNFSF11	0	0	1	0	0	0	0	1	1	1
TNKS2	0	1	0	0	0	0	0	1	1	1
TNRC6B	0	0	1	0	0	0	0	1	1	1
TNXB	1	0	0	0	0	0	0	1	1	1
TOMM34	1	0	0	0	0	0	0	1	1	1
TRAK2	0	0	1	0	0	0	0	1	1	1
TRAV20	0	0	1	0	0	0	0	1	1	1
TRAV24	0	0	1	0	0	0	0	1	1	1
TRBV5-7	0	0	1	0	0	0	0	1	1	1
TRBV7-6	0	0	1	0	0	0	0	1	1	1
TRGV2	0	0	1	0	0	0	0	1	1	1
TRHR	0	0	0	1	0	0	0	1	1	1
TRMT10C	1	0	0	0	0	0	0	1	1	1
TRMT44	0	0	1	0	0	0	0	1	1	1
TRPM6	0	0	1	0	0	0	0	1	1	1
TSGA10	0	0	1	0	0	0	0	1	1	1
TSHR	0	0	1	0	0	0	0	1	1	1
TTC3	0	1	0	0	0	0	0	1	1	1
TTC30A	0	1	0	0	0	0	0	1	1	1
TTLL7	0	0	1	0	0	0	0	1	1	1
TUBB8	0	0	1	0	0	0	0	1	1	1
TUBGCP2	0	1	0	0	0	0	0	1	1	1
TYRO3	0	0	0	0	0	1	0	1	1	1
UBC	0	0	1	0	0	0	0	1	1	1
UBR3	0	0	1	0	0	0	0	1	1	1
UGT2B11	0	0	1	0	0	0	0	1	1	1
UNC45B	0	0	1	0	0	0	0	1	1	1
USH2A	0	0	1	0	0	0	0	1	1	1
USP12	0	0	1	0	0	0	0	1	1	1
VCP	0	1	0	0	0	0	0	1	1	1
VPS53	0	0	1	0	0	0	0	1	1	1
VPS54	1	0	0	0	0	0	0	1	1	1
VWA3A	0	0	1	0	0	0	0	1	1	1
WDR33	0	0	1	0	0	0	0	1	1	1
WDR64	1	0	0	0	0	0	0	1	1	1
WDR87	0	0	1	0	0	0	0	1	1	1
WDTC1	0	0	1	0	0	0	0	1	1	1
XIRP2	0	0	1	0	0	0	0	1	1	1
ZBTB26	0	0	1	0	0	0	0	1	1	1
ZC3H11A	0	1	0	0	0	0	0	1	1	1
ZDHHC11	0	0	1	0	0	0	0	1	1	1
ZKSCAN2	0	0	1	0	0	0	0	1	1	1
ZMPSTE24	0	1	0	0	0	0	0	1	1	1
ZNF10	0	0	1	0	0	0	0	1	1	1
ZNF195	0	0	1	0	0	0	0	1	1	1
ZNF253	0	0	1	0	0	0	0	1	1	1
ZNF300	0	0	1	0	0	0	0	1	1	1
ZNF442	1	0	0	0	0	0	0	1	1	1
ZNF460	0	0	1	0	0	0	0	1	1	1
ZNF527	0	0	1	0	0	0	0	1	1	1
ZNF532	0	0	1	0	0	0	0	1	1	1
ZNF555	0	1	0	0	0	0	0	1	1	1
ZNF600	0	0	1	0	0	0	0	1	1	1
ZNF687	0	0	1	0	0	0	0	1	1	1
ZNF701	0	0	1	0	0	0	0	1	1	1
ZNF746	0	0	1	0	0	0	0	1	1	1
ZNF75A	0	0	1	0	0	0	0	1	1	1
ZNF777	1	0	0	0	0	0	0	1	1	1
ZNF778	0	0	1	0	0	0	0	1	1	1
ZXDA	0	0	1	0	0	0	0	1	1	1
