Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
MAF	0	0	1	0	0	1	1	1
MARS	1	0	0	0	0	1	1	1
MASP1	0	0	0	0	1	1	1	1
MATN2	0	0	1	0	0	1	1	1
MBD4	1	0	0	0	0	1	1	1
MECP2	0	0	1	0	0	1	1	1
MED1	0	0	1	0	0	1	1	1
MEF2C	0	0	0	1	0	1	1	1
MEN1	1	0	0	0	0	1	1	1
MOSPD3	0	0	1	0	0	1	1	1
MSH6	1	0	0	0	0	1	1	1
MUC12	0	0	1	0	0	1	1	1
MUC16	1	0	0	0	0	1	1	1
MUC4	0	0	1	0	0	1	1	1
MYO18A	0	0	1	0	0	1	1	1
NID2	0	0	1	0	0	1	1	1
NOS1	0	0	1	0	0	1	1	1
NOTCH2	1	0	0	0	0	1	1	1
NPIPB15	0	0	0	1	0	1	1	1
NPY1R	0	0	1	0	0	1	1	1
OR2M3	0	0	1	0	0	1	1	1
OR52L1	0	0	1	0	0	1	1	1
OR6N1	0	0	1	0	0	1	1	1
OR7C1	0	1	0	0	0	1	1	1
OXA1L	0	0	1	0	0	1	1	1
PABPC1	0	0	1	0	0	1	1	1
PAN2	0	0	1	0	0	1	1	1
PAPSS2	0	0	1	0	0	1	1	1
PARP14	0	1	0	0	0	1	1	1
PFKM	0	0	1	0	0	1	1	1
PKHD1	0	0	1	0	0	1	1	1
PLCL1	0	0	1	0	0	1	1	1
PPRC1	0	1	0	0	0	1	1	1
PRKRA	0	0	1	0	0	1	1	1
PRKX	0	0	0	0	1	1	1	1
RAPGEF6	0	1	0	0	0	1	1	1
RBM27	0	1	0	0	0	1	1	1
RBM4	0	0	1	0	0	1	1	1
RBMXL1	0	0	1	0	0	1	1	1
RMDN2	1	0	0	0	0	1	1	1
RNF34	0	0	1	0	0	1	1	1
RP11-1055B8.7	0	0	1	0	0	1	1	1
RP11-407N17.3	0	1	0	0	0	1	1	1
RRN3	0	0	1	0	0	1	1	1
RXFP2	0	1	0	0	0	1	1	1
SACS	1	0	0	0	0	1	1	1
SEC31A	1	0	0	0	0	1	1	1
SEC63	0	1	0	0	0	1	1	1
SELE	0	0	1	0	0	1	1	1
SERPINA1	1	0	0	0	0	1	1	1
SETD8	0	0	1	0	0	1	1	1
SHROOM2	0	0	1	0	0	1	1	1
SIK3	0	0	1	0	0	1	1	1
SLAMF7	0	0	1	0	0	1	1	1
SLC35F5	1	0	0	0	0	1	1	1
SLC7A13	0	0	1	0	0	1	1	1
SMAP1	0	1	0	0	0	1	1	1
SPANXN3	1	0	0	0	0	1	1	1
SPATA5L1	0	0	1	0	0	1	1	1
STAP1	0	0	1	0	0	1	1	1
STAU2	1	0	0	0	0	1	1	1
TAF1B	0	1	0	0	0	1	1	1
TEKT5	0	0	1	0	0	1	1	1
TFDP3	0	0	1	0	0	1	1	1
TGFBR2	1	0	0	0	0	1	1	1
TJP1	0	0	1	0	0	1	1	1
TM9SF3	1	0	0	0	0	1	1	1
TMBIM4	0	1	0	0	0	1	1	1
TMEM132D	0	0	1	0	0	1	1	1
TNRC6B	0	0	1	0	0	1	1	1
TRAF2	0	0	1	0	0	1	1	1
TRBV20-1	0	0	1	0	0	1	1	1
TRRAP	0	0	1	0	0	1	1	1
TSTD2	0	0	1	0	0	1	1	1
TYRO3	0	0	0	0	1	1	1	1
UACA	0	0	1	0	0	1	1	1
UBA1	0	0	1	0	0	1	1	1
UHRF1BP1L	0	0	1	0	0	1	1	1
ULK4	0	1	0	0	0	1	1	1
VCP	0	1	0	0	0	1	1	1
VEGFB	0	1	0	0	0	1	1	1
VPS13B	1	0	0	0	0	1	1	1
WBP1	1	0	0	0	0	1	1	1
YLPM1	0	0	0	1	0	1	1	1
ZBTB33	0	0	1	0	0	1	1	1
ZC3H11A	0	1	0	0	0	1	1	1
ZC3H13	1	0	0	0	0	1	1	1
ZMYM4	0	1	0	0	0	1	1	1
ZNF217	0	1	0	0	0	1	1	1
ZNF384	0	0	1	0	0	1	1	1
ZNF852	0	0	1	0	0	1	1	1
